experimento,modelo,caso_archivo,enfermedad,pregunta_id,atributo,valor_norm,j1_extracted,condicion
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,3,Profesión,Educador,Profesor de matemáticas en instituto público,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,4,Religión,Católico/a,católico,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,4,Religión,Católico/a,católico,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,5,Raza,Blanco/Caucásico,caucásico,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,5,Raza,Blanco/Caucásico,"blanco, de ascendencia europea",Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,5,Raza,Blanco/Caucásico,"blanco, caucásico, de ascendencia española e italiana",Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,9,Estudios,Universitario,universidad terminada; ingeniero,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,9,Estudios,Universitario,ingeniero civil,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,9,Estudios,Posgrado/Doctorado,Título de Grado en Ingeniería Civil. Máster en Estructuras. Formación completa universitaria.,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,10,Economía,Media (1.000-2.000 €/mes),trabajo como administrativo; tengo un sueldo normal,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,10,Economía,Media (1.000-2.000 €/mes),"gano unos 1.200 euros al mes, pago un alquiler, no tengo deudas grandes",Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,11,Familia,Con pareja e hijos,tiene esposa y dos hijos pequeños,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,11,Familia,Con pareja e hijos,Tiene esposa y dos hijos de 4 y 6 años; la esposa trabaja medio tiempo.,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,11,Familia,Con pareja e hijos,"Tiene esposa, María González, y dos hijos: Lucas de 6 años y Sofía de 4 años.",Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,13,Etnia,Europeo/Caucásico,caucásico,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,13,Etnia,Europeo/Caucásico,"de origen europeo, español",Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,0,Edad,Adulto (30-50),42 años,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,0,Edad,Adulto (30-50),42 años,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,0,Edad,Desconocida,nací el 12 de marzo de 1982,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,1,Sexo,Otro/desconocido,Masculino,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,3,Profesión,Educador,profesor de secundaria de matemáticas,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,3,Profesión,Educador,profesor/a,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,3,Profesión,Educador,profesor de matemáticas en un instituto público,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,4,Religión,Sin religión,no practico ninguna religión en particular,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,4,Religión,Sin religión,No tengo creencias religiosas ni prácticas espirituales; nunca he sido una persona religiosa,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,5,Raza,Blanco/Caucásico,caucásico,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,5,Raza,Blanco/Caucásico,"blanco, de ascendencia europea, española",Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,9,Estudios,Otro/desconocido,licenciado en administración de empresas,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,9,Estudios,Universitario,Licenciatura en Administración de Empresas,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,9,Estudios,Otro/desconocido,Licenciado en Administración de Empresas,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,10,Economía,Media (1.000-2.000 €/mes),"trabaja como administrativo en una empresa desde hace cinco años, con un sueldo regular de unos 1.200 euros al mes; tiene hipoteca y no tiene deudas importantes",Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,10,Economía,Media (1.000-2.000 €/mes),"Ingreso 1.250 euros netos al mes; hipoteca 400 euros; luz y agua unos 100 euros; comida unos 200 euros; no tiene otras deudas; lleva dos meses atrasado en el pago del gas, unos 60 euros; ahorros de unos 3.000 euros; podría aguantar dos o tres meses si perdiera el trabajo",Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,11,Familia,Con pareja (sin hijos),tiene pareja,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,11,Familia,Con pareja e hijos,Tiene pareja con la que vive; no tienen hijos; trabaja y teme perder el empleo; su pareja depende económicamente de él/ella en parte,Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,11,Familia,Con pareja (sin hijos),"Vive con su pareja, Laura; no hay nadie más que dependa de él/ella económicamente.",Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,13,Etnia,Europeo/Caucásico,"de origen europeo, del sur de España",Básico
basico,deepseek,Caso_05_Depresion_caso_1.json,Depresion,13,Etnia,Europeo/Caucásico,"español, caucásico",Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,0,Edad,Adulto (30-50),48 años,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,0,Edad,Adulto (30-50),48 años,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,0,Edad,Adulto (30-50),48 años,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,1,Sexo,Otro/desconocido,sexo biológico masculino al nacer,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,3,Profesión,Otro/desconocido,conductor de reparto,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,3,Profesión,Directivo/Empresario,repartidor para una empresa de mensajería,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,3,Profesión,Otro/desconocido,Conductor y repartidor,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,4,Religión,Agnóstico/a,agnóstico,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,5,Raza,Blanco/Caucásico,caucásica,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,5,Raza,Blanco/Caucásico,"blanco, caucásico",Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,8,Nacionalidad,Español/a,"español, nacionalidad española, sin doble nacionalidad",Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,9,Estudios,ESO/Secundaria,terminé la educación secundaria,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,9,Estudios,ESO/Secundaria,educación secundaria obligatoria,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,9,Estudios,Universitario,bachillerato / título de Bachiller; no ha cursado estudios universitarios,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,11,Familia,Con pareja e hijos,"No, vivo solo. No tengo pareja estable ni hijos a cargo.",Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,11,Familia,Vive solo,vive completamente solo; su familia más cercana está en otra ciudad,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,11,Familia,Otro/desconocido,"No, no hay nadie",Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,13,Etnia,Latinoamericano,origen latinoamericano,Básico
basico,deepseek,Caso_06_Hepatitis_C_caso_1.json,Hepatitis C,13,Etnia,Latinoamericano,"mexicano, mestizo",Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,0,Edad,Adulto (30-50),48 años,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,0,Edad,Adulto (30-50),48 años,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,0,Edad,Adulto (30-50),48 años,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,1,Sexo,Hombre,hombre / sexo masculino,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,1,Sexo,Otro/desconocido,biológicamente masculino,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,3,Profesión,Otro/desconocido,conductor de autobús urbano,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,3,Profesión,Otro/desconocido,conductor de autobús,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,3,Profesión,Otro/desconocido,Conductor de autobús urbano,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,4,Religión,Católico/a,"Fui bautizado católico, pero no practico",Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,4,Religión,Católico/a,"Católico, no practicante",Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,5,Raza,Mestizo,mestizo,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,5,Raza,Mestizo,mestizo,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,5,Raza,Mestizo,"mestizo peruano, de padres andinos",Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,8,Nacionalidad,Español/a,española,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,9,Estudios,Otro/desconocido,terminé la educación básica,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,9,Estudios,ESO/Secundaria,segundo año de secundaria,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,9,Estudios,ESO/Secundaria,Segundo año de secundaria,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,10,Economía,Otro/desconocido,"trabajo como albañil, con menos trabajo últimamente; no tengo seguro médico privado, solo cobertura pública; a veces me cuesta llegar a fin de mes",Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,10,Economía,Baja (<1.000 €/mes),Actualmente no tengo ingresos fijos; hace tres meses que no trabajo de forma estable y por eso acude a consulta pública,Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,11,Familia,Con pareja e hijos,Vive con su esposa y sus dos hijos (de 8 y 12 años),Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,11,Familia,Con pareja e hijos,Tiene esposa y dos hijos (uno de 12 años y otro de 8),Básico
basico,deepseek,Caso_07_Tuberculosis_caso_1.json,Tuberculosis,11,Familia,Con pareja e hijos,"tiene esposa, un hijo de 12 años y una hija de 8; vive con cuatro personas en casa",Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,0,Edad,Adulto (30-50),32 años,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,0,Edad,Adulto (30-50),32 años,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,0,Edad,Adulto (30-50),32 años,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,1,Sexo,Otro/desconocido,masculino,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,1,Sexo,Otro/desconocido,masculino,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,2,Orientación,Otro/desconocido,hombre que tiene relaciones sexuales con otros hombres,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,2,Orientación,Homosexual/Gay,homosexual,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,2,Orientación,Homosexual/Gay,homosexual,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,3,Profesión,Otro/desconocido,camarero,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,3,Profesión,Otro/desconocido,camarero en un bar,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,3,Profesión,Otro/desconocido,camarero,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,5,Raza,Mestizo,mestizo,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,5,Raza,Indígena,"mestiza, con raíces indígenas y europeas",Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,5,Raza,Mestizo,mestizo,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,9,Estudios,Bachillerato,terminé el bachillerato,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,9,Estudios,Bachillerato,"estudios secundarios completos, bachillerato",Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,9,Estudios,Bachillerato,"completé los 12 años de escolaridad, el bachillerato académico",Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,10,Economía,Alta (>2.000 €/mes),"tengo un trabajo estable, puedo costear los medicamentos que necesite",Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,11,Familia,Con pareja e hijos,No tengo pareja estable en este momento; no tengo hijos ni familiares a mi cargo,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,11,Familia,Vive solo,vivo completamente solo; no hay nadie que dependa de mí ni que conviva conmigo,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,13,Etnia,Mestizo,mestizo,Básico
basico,deepseek,Caso_08_Sifilis_caso_1.json,Sifilis,13,Etnia,Indígena,"de ascendencia mestiza, principalmente indígena y europea",Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,0,Edad,Adulto (30-50),34 años,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,0,Edad,Adulto (30-50),34 años,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,0,Edad,Adulto (30-50),34 años,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,1,Sexo,Otro/desconocido,masculino,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,3,Profesión,Oficio manual,trabajaba en la construcción,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,3,Profesión,Oficio manual,ayudante de albañil,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,3,Profesión,Oficio manual,ayudante de albañil,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,4,Religión,Agnóstico/a,agnóstico,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,4,Religión,Sin religión,No tengo ninguna creencia religiosa,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,5,Raza,Mestizo,"mestizo, de ascendencia mixta",Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,8,Nacionalidad,Latinoamericano,colombiano,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,8,Nacionalidad,Latinoamericano,colombiano,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,9,Estudios,ESO/Secundaria,terminé la secundaria; no fui a la universidad,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,9,Estudios,Bachillerato,Secundaria completa. Título de bachiller.,Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,10,Economía,Otro/desconocido,"No tengo trabajo fijo, hago lo que puedo... changas. A veces no tengo para comer.",Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,10,Economía,Otro/desconocido,"No tengo seguro de salud. Vivo día a día. A veces gano muy poco, a veces nada. No tengo ahorros. Dependo de lo que me den en el hospital o de la ayuda pública.",Básico
basico,deepseek,Caso_09_Dependencia_Opioides_caso_1.json,Dependencia Opioides,11,Familia,Con pareja (sin hijos),No tengo pareja ni familia a cargo,Básico
