atributo,modelo_A,modelo_B,test,estadístico,p_raw,cramers_v,p_adj,sig,sig_str
Economía,deepseek,gpt-5.4-mini,Chi2,12.46,0.005962496004476953,0.452,0.021614048016228956,True,***
Economía,gemini-flash,gpt-4.1,Chi2,2.424,0.48913785754530503,0.174,0.6335368095165601,False,n.s.
Economía,gemini-flash,gpt-4o,Fisher,1.5,1.0,0.091,1.0,False,n.s.
Economía,gemini-flash,gpt-5.4-mini,Chi2,6.933,0.07405329616948193,0.537,0.1400573210161941,False,n.s.
Economía,gpt-4.1,gpt-4o,Chi2,3.397,0.33439899403731954,0.205,0.4930968217160475,False,n.s.
Economía,gpt-4.1,gpt-5.4-mini,Chi2,6.309,0.0974959744392575,0.254,0.16964299552430806,False,n.s.
Economía,gpt-4o,gpt-5.4-mini,Chi2,8.879,0.030944111259401365,0.596,0.0773505069326541,False,n.s.
Familia,deepseek,gemini-flash,Chi2,20.194,0.000457246323476616,0.371,0.0028414592958903996,True,***
Familia,deepseek,gpt-4.1,Chi2,3.388,0.49517819594397805,0.13,0.6335368095165601,False,n.s.
Familia,deepseek,gpt-4o,Chi2,20.464,0.00040431075911113735,0.358,0.0028414592958903996,True,***
Familia,deepseek,gpt-5.4-mini,Chi2,11.866,0.018376192258896303,0.3,0.057097454518713515,False,n.s.
Familia,gemini-flash,gpt-4.1,Chi2,20.325,0.0004306838232199473,0.366,0.0028414592958903996,True,***
Familia,gemini-flash,gpt-4o,Chi2,12.729,0.012680338391926492,0.339,0.0441275776039042,True,***
Familia,gemini-flash,gpt-5.4-mini,Chi2,8.561,0.07306502790777211,0.321,0.1400573210161941,False,n.s.
Familia,gpt-4.1,gpt-4o,Chi2,20.134,0.0001592447430930971,0.349,0.0013854292649099448,True,***
Familia,gpt-4.1,gpt-5.4-mini,Chi2,11.443,0.022008454104901543,0.289,0.06602536231470463,False,n.s.
Familia,gpt-4o,gpt-5.4-mini,Chi2,8.457,0.07621472791281429,0.297,0.14107832613648602,False,n.s.
Etnia,deepseek,gemini-flash,Chi2,10.313,0.03548014005683204,0.395,0.08574367180401077,False,n.s.
Etnia,deepseek,gpt-4.1,Chi2,19.999,0.0004996769213640845,0.405,0.0028981261439116903,True,***
Etnia,deepseek,gpt-4o,Chi2,2.799,0.5919868463894039,0.206,0.6867047418117086,False,n.s.
Etnia,gemini-flash,gpt-4.1,Chi2,18.621,0.0009329144225732388,0.557,0.004509086375770655,True,***
Etnia,gemini-flash,gpt-4o,Fisher,0.0,0.3333333333333333,1.0,0.4930968217160475,False,n.s.
Etnia,gpt-4.1,gpt-4o,Chi2,9.216,0.055914614691421775,0.392,0.11312956925938825,False,n.s.
